"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6BlwcAKMEDWOAhQSuErxKZ","Don't Leave Me Here","spotify:artist:2n0sjgdrfHYJT6B39cdvWW","Thaehan","spotify:album:371kMY1L5RsruvtWwHnxWB","Don't Leave Me Here","spotify:artist:2n0sjgdrfHYJT6B39cdvWW","Thaehan","2020-01-12","https://i.scdn.co/image/ab67616d0000b27388837dbbd0b87851881e9f46","1","1","216111","https://p.scdn.co/mp3-preview/ac59b9ec99c58fa81e85664efdcccb37cb61c86e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","TCAEP2066141","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4VrKSDOKLD9dRkeLScYfPD","Mobile Suit Gundam: Iron-Blooded Orphans","spotify:artist:3RN3VTAcHI62WWV3PlwlLK","Masaru Yokoyama","spotify:album:7uboISHgYOwpW2ate0sVnQ","MOBILE SUIT GUNDAM IRON-BLOODED ORPHANS Original Motion Picture Soundtrack","spotify:artist:3RN3VTAcHI62WWV3PlwlLK","Masaru Yokoyama","2016-03-23","https://i.scdn.co/image/ab67616d0000b2734f588f5d4303a0dab369d7b9","1","1","160413","https://p.scdn.co/mp3-preview/7029e3fcbba8a4941fe8319355be863e0b9f8c76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","JPG531500368","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0GONea6G2XdnHWjNZd6zt3","Summer Of '69","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:2o2G49EPi4lua5zgxUKhLL","Reckless (30th Anniversary / Deluxe Edition)","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","1984-11-05","https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512","1","6","216053","","false","79","USAM18490006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:74FxA27ASpI3f1nwbQNIvk","The Cosmic Balance","spotify:artist:74xthee7eyKf1x7emlFnCL","Dmitry V. Silantyev","spotify:album:0udEox2LG2jmbZsVuuog8m","Pathfinder: Wrath of the Righteous","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-09-25","https://i.scdn.co/image/ab67616d0000b273d1e3d4d4e76b8c7ac1d95c12","1","59","133000","https://p.scdn.co/mp3-preview/4ed824c6056a505bfd391702f5acb67142ec09c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","QZPJ32100381","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2XAPFLOzOlTu707FExHrYN","I Know Your Secrets","spotify:artist:73jlPRxT7z5xk29sMqFDjU, spotify:artist:0CZk5Sv5PCfxRiRsR32Ejd","Tommee Profitt, Liv Ash","spotify:album:1DItGYUnooSffYpT3p0tsL","Cinematic Songs (Vol. 3)","spotify:artist:73jlPRxT7z5xk29sMqFDjU","Tommee Profitt","2018-02-09","https://i.scdn.co/image/ab67616d0000b273ddff645014fd90c003c6dab1","1","1","215952","","false","41","TCADL1881363","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:018eOid2aGaPdxon7T6GsC","Shayad (From ""Love Aaj Kal"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU, spotify:artist:4YRxDV8wJFPHPTeXepOstw","Pritam, Arijit Singh","spotify:album:3Q6oDVihOpQVi2FC0Mfjlm","Shayad (From ""Love Aaj Kal"")","spotify:artist:1wRPtKGflJrBx9BmLsSwlU","Pritam","2020-01-22","https://i.scdn.co/image/ab67616d0000b2735ce250ed772675c347a34f64","1","1","247941","https://p.scdn.co/mp3-preview/f78d00e46299a1b1ba90c19969eaaf4edb020243?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","INS172000162","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3EPXxR3ImUwfayaurPi3cm","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","spotify:album:0YZLXTaHLcgl5UdtKDiUXD","Be Alright","spotify:artist:3QSQFmccmX81fWCUSPTS7y","Dean Lewis","2018-06-29","https://i.scdn.co/image/ab67616d0000b27313480e8127119dcb882eb53d","1","1","196373","","true","76","AUUM71800255","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7tl1En7BCSnD6Qb5OGlEIE","Paniyon Sa","spotify:artist:2oSONSC9zQ4UonDKnLqksx, spotify:artist:0T1CMVkqffHlqEk4BcAph1","Atif Aslam, Tulsi Kumar","spotify:album:5Ni5qgjE8gMZl4TXrbTwoV","Satyameva Jayate","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-08-01","https://i.scdn.co/image/ab67616d0000b273c85e9cfe721fb577d79a2b54","1","2","236239","https://p.scdn.co/mp3-preview/15d2e144d0b413b9c01fd6cec10a9e6f90882b56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INS181801601","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:55q3Ro66yXWi9rsEddeEN4","Pyramid Song","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:1HrMmB5useeZ0F5lHrMvl0","Amnesiac","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2001-03-12","https://i.scdn.co/image/ab67616d0000b273863e0e305637100311c91aa7","1","2","288733","https://p.scdn.co/mp3-preview/afb79a103e9c4924a960dea2f2bb1225e73a4e54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAYE0001578","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5CiHCfXZQyQEkmSeEj39PF","Pal Pal Dil Ke Paas- Title Track","spotify:artist:4YRxDV8wJFPHPTeXepOstw, spotify:artist:1E6arsXf5Fgsnv9YpSzjpE","Arijit Singh, Parampara Tandon","spotify:album:7yO4NM0VMj0DbI8gDIRn0V","Pal Pal Dil Ke Paas (Original Motion Picture Soundtrack)","spotify:artist:4f7KfxeHq9BiylGmyXepGt, spotify:artist:2DpITTpb4v5SQtB3iA4A44, spotify:artist:1SyKki7JI1AZNKwgNMkn25","Tanishk Bagchi, Rishi Rich, Sachet-Parampara","2019-08-29","https://i.scdn.co/image/ab67616d0000b273e0d8705ca0f5b7bda39f0143","1","2","254516","https://p.scdn.co/mp3-preview/0dca5a20f2a62cb7d6f1dbff4a59256f1878cca2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","INZ031406006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ovq5SIJ7zRgtLDR0zBHj7","Rabbit In Your Headlights","spotify:artist:2nszamLjZFgu3Yx77mKxuC, spotify:artist:4CvTDPKA6W06DRfBnZKrau","UNKLE, Thom Yorke","spotify:album:6Dxx0vxLQ83LK1PMZezlcY","Psyence Fiction","spotify:artist:2nszamLjZFgu3Yx77mKxuC","UNKLE","1998-09-29","https://i.scdn.co/image/ab67616d0000b2734f1a91e8d19ff7e39b671b25","1","11","376160","","false","47","GBAQH9800046","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:07MDkzWARZaLEdKxo6yArG","Meet Me At Our Spot","spotify:artist:64H8UqGLbJFHwKtGxiV8OP, spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:1xoxekeb8jUVHKJB7m6bfg","THE ANXIETY, WILLOW, Tyler Cole","spotify:album:2kZyqn4Cmr78D74K9TcO4K","THE ANXIETY","spotify:artist:64H8UqGLbJFHwKtGxiV8OP, spotify:artist:3rWZHrfrsPBxVy692yAIxF, spotify:artist:1xoxekeb8jUVHKJB7m6bfg","THE ANXIETY, WILLOW, Tyler Cole","2020-03-13","https://i.scdn.co/image/ab67616d0000b273024ea7e883a713a3ad552a71","1","8","162680","","true","76","QMJMT2002693","spotify:user:","1970-01-01T00:00:00Z"
